iter	Passed	Remaining
0	198	198213
1	214	107278
2	231	76913
3	251	62659
4	267	53306
5	284	47204
6	306	43413
7	326	40482
8	344	37912
9	364	36083
10	388	34971
11	406	33427
12	423	32134
13	443	31205
14	464	30511
15	483	29720
16	502	29083
17	520	28401
18	539	27836
19	556	27268
20	575	26843
21	595	26482
22	611	25995
23	632	25722
24	656	25613
25	674	25261
26	691	24928
27	708	24588
28	728	24401
29	748	24217
30	769	24045
31	786	23803
32	808	23677
33	829	23571
34	865	23856
35	895	23974
36	933	24299
37	969	24535
38	1000	24647
39	1039	24940
40	1076	25184
41	1111	25344
42	1143	25450
43	1177	25593
44	1210	25685
45	1245	25823
46	1280	25954
47	1317	26125
48	1360	26398
49	1394	26500
50	1424	26508
51	1453	26493
52	1482	26481
53	1510	26461
54	1543	26518
55	1586	26742
56	1624	26883
57	1656	26902
58	1690	26954
59	1723	26999
60	1757	27057
61	1789	27073
62	1823	27127
63	1854	27118
64	1887	27152
65	1924	27238
66	1963	27344
67	1991	27290
68	2027	27353
69	2062	27399
70	2095	27417
71	2133	27498
72	2166	27510
73	2195	27467
74	2228	27481
75	2261	27500
76	2292	27476
77	2322	27453
78	2350	27398
79	2381	27383
80	2409	27337
81	2445	27377
82	2475	27347
83	2500	27262
84	2532	27259
85	2563	27246
86	2602	27311
87	2629	27248
88	2660	27237
89	2688	27187
90	2718	27157
91	2751	27151
92	2779	27111
93	2807	27063
94	2840	27055
95	2870	27032
96	2900	26999
97	2929	26961
98	2958	26929
99	2992	26933
100	3022	26903
101	3051	26861
102	3079	26815
103	3111	26804
104	3141	26775
105	3170	26738
106	3198	26695
107	3229	26673
108	3259	26646
109	3289	26612
110	3317	26573
111	3346	26530
112	3374	26491
113	3403	26453
114	3434	26430
115	3463	26393
116	3496	26390
117	3526	26360
118	3555	26321
119	3587	26304
120	3615	26263
121	3653	26296
122	3690	26316
123	3720	26283
124	3750	26252
125	3776	26197
126	3806	26168
127	3840	26164
128	3870	26136
129	3902	26118
130	3932	26085
131	3965	26076
132	3994	26036
133	4025	26016
134	4057	26000
135	4086	25962
136	4117	25936
137	4158	25977
138	4191	25961
139	4222	25940
140	4250	25895
141	4277	25846
142	4308	25823
143	4341	25810
144	4373	25787
145	4408	25787
146	4440	25765
147	4467	25720
148	4501	25709
149	4531	25676
150	4559	25636
151	4596	25642
152	4624	25600
153	4659	25595
154	4693	25587
155	4728	25582
156	4762	25574
157	4792	25541
158	4822	25508
159	4854	25484
160	4880	25434
161	4914	25420
162	4949	25413
163	4975	25364
164	5005	25328
165	5031	25281
166	5058	25234
167	5087	25195
168	5123	25193
169	5157	25181
170	5194	25182
171	5234	25200
172	5270	25194
173	5311	25214
174	5347	25210
175	5378	25182
176	5408	25146
177	5439	25120
178	5470	25089
179	5499	25054
180	5529	25019
181	5557	24977
182	5590	24958
183	5629	24965
184	5663	24948
185	5695	24926
186	5727	24902
187	5754	24854
188	5787	24835
189	5816	24795
190	5848	24773
191	5873	24718
192	5899	24668
193	5924	24615
194	5950	24562
195	5975	24509
196	5999	24452
197	6024	24400
198	6052	24362
199	6079	24317
200	6106	24272
201	6136	24241
202	6163	24197
203	6190	24156
204	6221	24126
205	6249	24088
206	6277	24048
207	6305	24009
208	6331	23964
209	6359	23923
210	6387	23884
211	6416	23850
212	6450	23833
213	6481	23806
214	6515	23787
215	6546	23762
216	6593	23792
217	6630	23785
218	6664	23765
219	6709	23789
220	6749	23792
221	6790	23797
222	6827	23788
223	6861	23770
224	6895	23751
225	6928	23729
226	6964	23714
227	7000	23703
228	7037	23692
229	7076	23689
230	7116	23689
231	7156	23690
232	7193	23680
233	7229	23666
234	7265	23650
235	7302	23638
236	7332	23606
237	7364	23578
238	7397	23555
239	7431	23533
240	7463	23504
241	7500	23492
242	7533	23467
243	7561	23428
244	7601	23424
245	7646	23436
246	7680	23413
247	7715	23396
248	7751	23378
249	7791	23373
250	7821	23341
251	7853	23310
252	7887	23287
253	7915	23248
254	7947	23220
255	7982	23199
256	8017	23179
257	8053	23160
258	8089	23143
259	8125	23127
260	8171	23138
261	8206	23116
262	8235	23076
263	8262	23035
264	8296	23009
265	8327	22979
266	8358	22947
267	8392	22924
268	8422	22886
269	8449	22844
270	8478	22807
271	8510	22777
272	8543	22752
273	8570	22709
274	8612	22706
275	8646	22681
276	8677	22648
277	8710	22621
278	8741	22590
279	8774	22563
280	8803	22525
281	8834	22493
282	8861	22451
283	8888	22410
284	8919	22377
285	8950	22343
286	8981	22312
287	9011	22279
288	9045	22254
289	9075	22219
290	9104	22181
291	9132	22144
292	9164	22113
293	9196	22083
294	9228	22055
295	9259	22021
296	9287	21984
297	9317	21948
298	9348	21917
299	9376	21878
300	9409	21851
301	9441	21822
302	9471	21787
303	9500	21750
304	9534	21726
305	9563	21690
306	9592	21653
307	9628	21632
308	9659	21600
309	9688	21564
310	9718	21530
311	9747	21494
312	9777	21459
313	9805	21421
314	9834	21387
315	9859	21340
316	9890	21308
317	9922	21280
318	9954	21250
319	9984	21216
320	10015	21185
321	10046	21153
322	10075	21117
323	10108	21090
324	10136	21052
325	10166	21019
326	10198	20988
327	10235	20970
328	10266	20937
329	10300	20912
330	10329	20878
331	10357	20839
332	10385	20801
333	10413	20763
334	10445	20734
335	10474	20699
336	10504	20666
337	10531	20627
338	10557	20585
339	10586	20550
340	10615	20514
341	10645	20480
342	10678	20453
343	10710	20423
344	10739	20389
345	10769	20357
346	10801	20327
347	10828	20288
348	10865	20267
349	10894	20232
350	10959	20264
351	11022	20292
352	11076	20301
353	11107	20268
